Temperature;Fe2O3;Fe3O4;FeO;Fe
0;80.03;0;0;0
1;80.03;0;0;0
2;80.03;0;0;0
3;80.03;0;0;0
5;80.03;0;0;0
6;80.03;0;0;0
8;80.03;0;0;0
9;80.03;0;0;0
10;80.03;0;0;0
11;80.03;0;0;0
13;80.03;0;0;0
15;80.03;0;0;0
16;80.03;0;0;0
17;80.03;0;0;0
18;80.03;0;0;0
20;80.03;0;0;0
22;80.03;0;0;0
23;80.03;0;0;0
25;80.03;0;0;0
27;80.03;0;0;0
28;80.03;0;0;0
30;80.03;0;0;0
32;80.03;0;0;0
33;80.03;0;0;0
35;80.03;0;0;0
37;80.03;0;0;0
39;80.03;0;0;0
40;80.03;0;0;0
42;80.03;0;0;0
44;80.03;0;0;0
46;80.03;0;0;0
47;80.03;0;0;0
49;80.03;0;0;0
51;80.03;0;0;0
53;80.03;0;0;0
54;80.03;0;0;0
56;80.03;0;0;0
58;80.03;0;0;0
60;80.03;0;0;0
61;80.03;0;0;0
63;80.03;0;0;0
65;80.03;0;0;0
67;80.03;0;0;0
68;80.03;0;0;0
70;80.03;0;0;0
72;80.03;0;0;0
74;80.03;0;0;0
75;80.03;0;0;0
77;80.03;0;0;0
79;80.03;0;0;0
81;80.03;0;0;0
82;80.03;0;0;0
84;80.03;0;0;0
86;80.03;0;0;0
88;80.03;0;0;0
89;80.03;0;0;0
91;80.03;0;0;0
93;80.03;0;0;0
94;80.03;0;0;0
96;80.03;0;0;0
98;80.03;0;0;0
100;80.03;0;0;0
102;80.03;0;0;0
103;80.03;0;0;0
105;80.03;0;0;0
107;80.03;0;0;0
109;80.03;0;0;0
110;80.03;0;0;0
112;80.03;0;0;0
114;80.03;0;0;0
116;80.03;0;0;0
118;80.03;0;0;0
119;80.03;0;0;0
121;80.03;0;0;0
123;80.03;0;0;0
124;80.03;0;0;0
126;80.03;0;0;0
128;80.03;0;0;0
130;80.03;0;0;0
131;80.03;0;0;0
133;80.03;0;0;0
135;80.03;0;0;0
137;80.03;0;0;0
138;80.03;0;0;0
